标题,URL,日期,时间
金价反弹9只黄金股月内飘红，最高涨幅超20%-中新经纬,https://cj.sina.cn/articles/view/7879848924/1d5acf3dc01901h8mw,2026-07-09,09:45
央行连续20个月购金筑牢底部支撑，去美元化与货币信用重构长期逻辑稳固,https://finance.sina.com.cn/stock/relnews/hk/2026-07-08/doc-inihaicz1462317.shtml,2026-07-08,11:38
毕洪涛“接棒”，山金国际迎来新任董事长,https://finance.sina.com.cn/roll/2026-07-08/doc-inihaiea8235143.shtml,2026-07-08,11:23
30年行业老将掌舵，山金国际迎来全球化“关键先生”,https://finance.sina.com.cn/roll/2026-07-07/doc-inifyvay5163811.shtml,2026-07-07,20:04
山金国际：选举毕洪涛为公司董事长,https://finance.sina.com.cn/jjxw/2026-07-07/doc-inifyvay5154152.shtml,2026-07-07,19:02
海外金矿资源布局观察,https://finance.sina.com.cn/stock/relnews/hk/2026-07-07/doc-inifxxwz8193030.shtml,2026-07-07,10:34
金价反弹9只黄金股月内飘红，最高涨幅超20%,https://finance.sina.com.cn/roll/2026-07-06/doc-inifwmvv1820247.shtml,2026-07-06,18:56
山东黄金集团与中国工商银行签署全面战略合作协议,https://finance.sina.com.cn/stock/relnews/cn/2026-07-06/doc-inifwfpx1865959.shtml,2026-07-06,17:01
智通港股通占比异动统计|7月6日,https://finance.sina.com.cn/stock/hkstock/marketalerts/2026-07-06/doc-inifvkke2061605.shtml,2026-07-06,08:36
山东黄金：投资者质疑业绩差，董秘称以公告信息为准,https://finance.sina.com.cn/stock/relnews/dongmiqa/2026-07-03/doc-inifpusq5586455.shtml,2026-07-03,17:58
国内黄金股集体狂欢，国际金价能否站上4200美元关口？,https://finance.sina.com.cn/jjxw/2026-07-03/doc-inifpqkw3670150.shtml,2026-07-03,16:36
山东黄金涨7.86%，太平洋一个月前给出“买入”评级,https://cj.sina.cn/articles/view/1850649324/6e4eaaec02002cdji,2026-07-03,16:25
125万股民回血！紫金矿业，反转了吗？,https://finance.sina.com.cn/stock/relnews/cn/2026-07-03/doc-inifpqkw3624038.shtml,2026-07-03,15:56
黄金股连续反弹，黄金股ETF华夏(159562)领跑市场，持仓股西部黄金、四川黄金、赤峰黄金等股批量涨停,https://cj.sina.cn/articles/view/6192937794/17120bb4202002r47o,2026-07-03,14:11
概念股批量涨停！黄金板块狂飙7％ 领跑A股,https://finance.sina.com.cn/stock/relnews/cn/2026-07-03/doc-inifpcuy2381058.shtml,2026-07-03,13:54
财中ETF风向标｜有色ETF鹏华(159880)午盘涨超2.4% 黄金股集体走强,https://finance.sina.com.cn/stock/zqgd/2026-07-03/doc-inifpcva3665177.shtml,2026-07-03,13:40
财中ETF风向标｜有色ETF鹏华(159880)盘中涨超2%，赤峰黄金强势涨停,https://finance.sina.com.cn/stock/zqgd/2026-07-03/doc-inifpcuw5600853.shtml,2026-07-03,13:25
000004突发“地天板”，6日大涨超70%！贵金属期货、个股齐涨，高比例分红股名单出炉,https://cj.sina.cn/articles/view/5574738445/14c47c20d01901gxug,2026-07-03,12:50
贵金属板块大幅高开 赤峰黄金、山金国际高开超6%,https://finance.sina.com.cn/7x24/2026-07-03/doc-inifntfh3724928.shtml,2026-07-03,09:28
山东黄金(01787)转仓市值总计8.37亿港元 占比5.04% 从法国巴黎银行转出2948.58万股,https://finance.sina.com.cn/stock/hkstock/marketalerts/2026-07-03/doc-inifntfh3674841.shtml,2026-07-03,08:20
山东黄金矿业股份有限公司2025年年度权益分派实施公告,https://finance.sina.com.cn/roll/2026-07-03/doc-inifnhrk2460065.shtml,2026-07-03,04:58
山东黄金：2025年年度权益分派实施公告,https://cj.sina.cn/articles/view/2311077472/89c03e6002002laeu,2026-07-02,21:27
算力股集体崩盘资金全线出逃！黄金板块逆势暴涨，15只个股被主力重金加仓招金黄金涨停,https://finance.sina.com.cn/stock/relnews/hk/2026-07-02/doc-inifmmmu2632484.shtml,2026-07-02,19:39
山东黄金(600547.SH)2025年年度权益分派：每股派利0.18元,https://finance.sina.com.cn/stock/bxjj/2026-07-02/doc-inifmfcu5931282.shtml,2026-07-02,18:30
美联储主席沃什释放鸽派言论，金价止跌回升，黄金行情好起来了？,https://finance.sina.com.cn/roll/2026-07-02/doc-inifnxph0451678.shtml,2026-07-02,13:08
财中ETF风向标｜有色金属ETF南方(512400)午盘涨2.81%，黄金股领涨成分股,https://finance.sina.com.cn/stock/zqgd/2026-07-02/doc-inifkuqa2677875.shtml,2026-07-02,12:06
财中ETF风向标｜贵金属板块逆势走强，材料ETF广发(159944)午盘涨1.36%,https://finance.sina.com.cn/stock/zqgd/2026-07-02/doc-inifkups3555769.shtml,2026-07-02,11:38
美联储主席沃什鸽派言论利好催化，金价盘中走强，黄金股ETF华夏(159562)领涨两市,https://cj.sina.cn/articles/view/6192937794/17120bb4202002r34i,2026-07-02,11:30
黄金股持续走强 中国黄金国际(02099)涨12.9% 机构指黄金仍具备战略抗波动资产属性,https://finance.sina.com.cn/stock/relnews/cn/2026-07-02/doc-inifkqha5977796.shtml,2026-07-02,11:03
ADP就业数据走弱打破加息一致预期，金价深V反弹关注非农验证,https://finance.sina.com.cn/jjxw/2026-07-02/doc-inifkqhe2672546.shtml,2026-07-02,10:01
美联储7月利率决议预期强化，避险逻辑推升黄金配置价值,https://finance.sina.com.cn/stock/relnews/cn/2026-07-02/doc-inifkiye5982369.shtml,2026-07-02,09:21
4人履新副省级城市副市长,https://finance.sina.com.cn/jjxw/2026-07-01/doc-inifiaew3007217.shtml,2026-07-01,17:32
韩耀东任青岛市副市长,https://finance.sina.com.cn/jjxw/2026-07-01/doc-iniffyth6343687.shtml,2026-07-01,06:36
交通银行“金聚齐鲁 交融新程”山东黄金市场业务交流会在济南成功举办,https://cj.sina.cn/articles/view/7517400647/1c0126e4705908qthe,2026-07-01,00:00
金融“活水”赋能山东黄金产业，这场交流会干货满满！,https://finance.sina.com.cn/roll/2026-06-30/doc-inifeaah3557451.shtml,2026-06-30,11:31
山东黄金(01787)转仓市值总计5.27亿港元 占比3.07% 从花旗银行转出2337.46万股,https://finance.sina.com.cn/stock/hkstock/marketalerts/2026-06-30/doc-inifcvua1706899.shtml,2026-06-30,08:26
贵金属板块午后走强 贵研铂业涨近4%,https://finance.sina.com.cn/7x24/2026-06-29/doc-inifackz0271917.shtml,2026-06-29,14:21
美国通胀韧性超预期，加息升温压制金属价格,https://finance.sina.com.cn/stock/relnews/cn/2026-06-29/doc-iniezsvf0290553.shtml,2026-06-29,09:04
智通港股通占比异动统计|6月29日,https://finance.sina.com.cn/stock/hkstock/marketalerts/2026-06-29/doc-iniezsvf0262734.shtml,2026-06-29,08:36
山东黄金矿业股份有限公司2026年第一次临时股东会决议公告,https://finance.sina.com.cn/jjxw/2026-06-27/doc-inieveqv6946186.shtml,2026-06-27,00:00
山东黄金：2026年第一次临时股东会决议公告,https://cj.sina.cn/articles/view/2311077472/89c03e6002002l61q,2026-06-26,21:42
智通港股通占比异动统计|6月26日,https://cj.sina.cn/articles/view/5835524730/15bd30a7a020026pzy,2026-06-26,08:36
2026年国资无偿划转案例梳理及相关税务风险防范,https://finance.sina.com.cn/roll/2026-06-25/doc-inierihw2462964.shtml,2026-06-25,17:00
港股收评：恒指跌1.43%险守23000，存储、PCB概念强势，黄金股重挫,https://finance.sina.com.cn/stock/bxjj/2026-06-25/doc-inierihw2455224.shtml,2026-06-25,16:48
贵金属板块再度跳水！高盛最新警告：美联储7月加息“可能性较大”,https://finance.sina.com.cn/jjxw/2026-06-25/doc-inieqsma5823827.shtml,2026-06-25,10:37
港股有色金属板块持续下挫，中国黄金国际等股跌超8%,https://finance.sina.com.cn/7x24/2026-06-25/doc-inieqskx7857900.shtml,2026-06-25,10:29
现货金失守4000美元心理关口 黄金股大幅受挫 招金矿业(01818)跌6.86%,https://finance.sina.com.cn/stock/relnews/hk/2026-06-25/doc-inieqsma5820256.shtml,2026-06-25,10:26
放量增仓下挫，白银仍有下跌空间？,https://finance.sina.com.cn/stock/relnews/cn/2026-06-25/doc-inieqskw1074923.shtml,2026-06-25,10:13
山东黄金：2026年7月10日召开2026年第二次临时股东会,https://finance.sina.com.cn/stock/relnews/hk/2026-06-24/doc-iniepkru2972979.shtml,2026-06-24,21:34
山东黄金：拟选举王成龙为第七届董事会非独立董事,https://finance.sina.com.cn/7x24/2026-06-24/doc-iniepeiq1419159.shtml,2026-06-24,17:23
山东黄金矿业股份有限公司 第七届董事会第十三次会议决议公告,https://finance.sina.com.cn/jjxw/2026-06-23/doc-iniekeez8847705.shtml,2026-06-23,00:00
山东黄金(01787)提名王成龙为非独立董事候选人,https://finance.sina.com.cn/stock/hkstock/ggscyd/2026-06-22/doc-inieiatm6876152.shtml,2026-06-22,22:46
山东黄金(01787.HK)：刘钦辞任副董事长及非执行董事,https://finance.sina.com.cn/stock/bxjj/2026-06-22/doc-inieiatm6877459.shtml,2026-06-22,22:46
山东黄金：刘钦因工作调整辞任副董事长、董事等职,https://cj.sina.cn/articles/view/7935425109/1d8fcfa5502001g6t8,2026-06-22,17:57
山东黄金(600547.SH)：副董事长刘钦辞职,https://finance.sina.com.cn/stock/bxjj/2026-06-22/doc-iniehscq0223893.shtml,2026-06-22,17:52
山东黄金：副董事长刘钦因工作调整辞职,https://cj.sina.cn/articles/view/2868676035/aafc85c302001rdpa,2026-06-22,17:46
央行购金意愿创纪录 超跌+低PE概念股揭晓,https://finance.sina.com.cn/7x24/2026-06-22/doc-iniefzfu9127383.shtml,2026-06-22,12:44
港股黄金股集体下跌,https://finance.sina.com.cn/7x24/2026-06-22/doc-iniefuxv2342576.shtml,2026-06-22,10:05
山金国际黄金股份有限公司第九届董事会第二十四次会议决议公告,https://finance.sina.com.cn/roll/2026-06-22/doc-iniefeai7415099.shtml,2026-06-22,03:37
山东黄金：持续深化市值管理工作,https://cj.sina.cn/articles/view/1850649324/6e4eaaec02002btna,2026-06-18,19:01
山东黄金Wind ESG评级提升至AA级 位列行业第一梯队,https://cj.sina.cn/articles/view/2311077472/89c03e6002002kxaa,2026-06-17,15:25
黄金股回调 紫金黄金国际(02259)跌超2% 机构指买入窗口期已至,https://finance.sina.com.cn/stock/relnews/hk/2026-06-17/doc-inictaeq5654892.shtml,2026-06-17,13:48
世界黄金协会调查：89%央行预计未来12个月继续增持黄金,https://finance.sina.com.cn/stock/relnews/cn/2026-06-17/doc-inicsmhx7191322.shtml,2026-06-17,09:34
山东黄金将于8月14日派发末期股息每10股2.07142港元,https://finance.sina.com.cn/stock/hkstock/ggscyd/2026-06-16/doc-inicpzzy6339907.shtml,2026-06-16,08:40
山东黄金矿业股份有限公司2025年年度股东会决议公告,https://finance.sina.com.cn/roll/2026-06-16/doc-inicprna9659444.shtml,2026-06-16,03:00
玲珑轮胎（601966）：中标山东黄金矿业（玲珑）有限公司采购项目，中标金额为300.31万元,https://cj.sina.cn/articles/view/7651844612/1c815e20402001vrec,2026-06-16,01:39
山东黄金：2025年年度股东会决议公告,https://cj.sina.cn/articles/view/2311077472/89c03e6002002kvdo,2026-06-15,20:34
美伊达成停战协议，中东局势降温！国际金价冲高｜黄金早参,https://finance.sina.com.cn/stock/relnews/cn/2026-06-15/doc-inicmxcc5123586.shtml,2026-06-15,09:07
金价回落冲击全球权益市场，“紫金系”市值缩水超8000亿元,https://finance.sina.com.cn/roll/2026-06-12/doc-iniceccr2221013.shtml,2026-06-12,20:30
资金回流资源板块，AI涨价信号向上游传导，有色景气修复与资源价值重估共振,https://finance.sina.com.cn/jjxw/2026-06-12/doc-iniccspn5038844.shtml,2026-06-12,14:06
美伊局势缓和驱动金价反弹，三重逻辑支撑黄金修复窗口,https://finance.sina.com.cn/jjxw/2026-06-12/doc-iniccfxv3544158.shtml,2026-06-12,10:19
从5600到4100美元，金价跌回原点，有人去年已离场,https://finance.sina.com.cn/jjxw/2026-06-11/doc-iniaztwp3969303.shtml,2026-06-11,18:12
黄金股延续昨日跌势 紫金黄金国际(02259)跌4.36% 现货黄金价格跌至半年以来新低,https://finance.sina.com.cn/stock/relnews/cn/2026-06-11/doc-iniazayx0869760.shtml,2026-06-11,11:49
【股商异动】贵金属板块异动拉升！机构集体看多，降息预期推升金价走强！,https://finance.sina.com.cn/stock/relnews/cn/2026-06-11/doc-iniaywsu5627610.shtml,2026-06-11,09:55
东吴证券116亿元收购东海证券，山东黄金7亿元浮亏“败走麦城”,https://finance.sina.com.cn/stock/s/2026-06-10/doc-iniaxvfm4433793.shtml,2026-06-10,20:04
金价持续调整，全球央行购金热度不减,https://finance.sina.com.cn/stock/relnews/cn/2026-06-10/doc-iniawttu6031464.shtml,2026-06-10,11:16
黄金早参|美对伊朗发动袭击，金价接连失守关键点位，短期宜观望,https://finance.sina.com.cn/roll/2026-06-10/doc-iniaxeiv1250211.shtml,2026-06-10,09:59
东吴证券116亿元收购东海证券，山东黄金7亿元浮亏“败走麦城”,https://cj.sina.cn/articles/view/5675440730/152485a5a020022oky,2026-06-09,16:00
山东黄金(600547)：国内黄金龙头 资源优势突出,http://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/search/rptid/834263351908/index.phtml,2026-06-08,19:30
中国香港最大外访商贸团现身中亚，张晓海随特首访问，要拿下多少合作先机？,https://finance.sina.com.cn/stock/relnews/cn/2026-06-08/doc-iniasscu3954232.shtml,2026-06-08,15:52
出售东海证券股权，山东黄金确认7.05亿元损失,https://finance.sina.com.cn/stock/zqgd/2026-06-08/doc-iniasscq5492281.shtml,2026-06-08,14:53
刚果资源收益诉求增强，关键资源安全溢价抬升,https://finance.sina.com.cn/stock/relnews/cn/2026-06-08/doc-iniasmvs5578760.shtml,2026-06-08,13:19
张晓海受邀随团访问哈萨克斯坦和乌兹别克斯坦,https://finance.sina.com.cn/wm/2026-06-06/doc-inianqpm0532548.shtml,2026-06-06,19:15
招金黄金净利碾压同业！揭秘小金属板块中“隐形冠军”的财报含金量,https://cj.sina.cn/articles/view/7966039772/1dad01edc00101a6hc,2026-06-05,21:02
资产划转税务处理口径存争议 业内建议出台可量化细则与指引,https://cj.sina.cn/articles/view/7517400647/1c0126e4705908mhxk,2026-06-05,00:00
山东黄金矿业股份有限公司 关于召开2026年第一次临时股东会的通知,https://finance.sina.com.cn/jjxw/2026-06-04/doc-iniaeuqa0567572.shtml,2026-06-04,00:00
山东黄金：公司以战略为导向，制定了岗位绩效工资制,https://cj.sina.cn/articles/view/1850649324/6e4eaaec02002b1re,2026-06-02,18:30
【机构调研记录】汇添富基金调研山东黄金、南网储能,https://cj.sina.cn/articles/view/1850649324/6e4eaaec02002azyg,2026-06-02,08:01
【机构调研记录】富国基金调研山东黄金、南网储能等3只个股（附名单）,https://cj.sina.cn/articles/view/1850649324/6e4eaaec02002azyo,2026-06-02,08:01
【机构调研记录】南方基金调研山东黄金,https://cj.sina.cn/articles/view/1850649324/6e4eaaec02002azz6,2026-06-02,08:01
山东黄金矿业股份有限公司 关于控股子公司山金国际为其子公司提供担保的进展公告,https://finance.sina.com.cn/jjxw/2026-06-02/doc-inhzyhiz1892557.shtml,2026-06-02,00:00
推土机挖通50条导弹隧道，中东局势再起波澜，黄金成资金避风港,https://k.sina.cn/article_7879996580_1d5af34a402001risw.html,2026-06-01,22:20
山东黄金：公司及控股子公司均无逾期担保,https://finance.sina.com.cn/stock/relnews/cn/2026-06-01/doc-inhzxmek3785551.shtml,2026-06-01,21:04
山东黄金召开机构电话交流会 多措并举夯实发展根基,https://finance.sina.com.cn/roll/2026-06-01/doc-inhzxmef5036212.shtml,2026-06-01,21:02
山东黄金：未受山东招远金矿安全事故影响，2025年以来成本确实有一定幅度上升,https://finance.sina.com.cn/jjxw/2026-06-01/doc-inhzwuhs4037125.shtml,2026-06-01,15:57
黄金股全线走高 潼关黄金(00340)涨3.26% 机构指黄金中期上行逻辑稳固,https://finance.sina.com.cn/stock/relnews/hk/2026-06-01/doc-inhzwpyv2505015.shtml,2026-06-01,11:18
黄金涨不动了？4只股价年内腰斩，山东黄金、湖南白银跌超55%,https://finance.sina.com.cn/wm/2026-05-29/doc-inhzqpth7853091.shtml,2026-05-29,20:44
延续震荡，黄金股ETF华夏(159562)近10个交易日净流入1.14亿元,https://cj.sina.cn/articles/view/5182171545/134e1a99902002fdvu,2026-05-29,14:57
港股黄金股下跌，山东黄金下跌8.4%，中国黄金国际跌8.7%。,https://finance.sina.com.cn/7x24/2026-05-28/doc-inhzmpqp1126312.shtml,2026-05-28,13:08
ETF英雄汇：有色ETF富国(159168.SZ)领涨、中韩半导体ETF华泰柏瑞(513310.SH)溢价明显-20260526,https://finance.sina.com.cn/jjxw/2026-05-26/doc-inhzffsk2922376.shtml,2026-05-26,16:49
互为重要战略合作伙伴！山东黄金集团与中国银行重磅签约！,https://finance.sina.com.cn/stock/relnews/cn/2026-05-26/doc-inhzffss1491986.shtml,2026-05-26,15:10
