alias,冲突数,field_id,standard_name,所属Concept,来源类型
最低价,5,FIELD_FUT_LOW,最低价,CONCEPT_FUTURES,standard_name
最低价,5,FIELD_CB_LOW,最低价,CONCEPT_CONVERTIBLE_BOND,standard_name
最低价,5,FIELD_FUND_LOW,最低价,CONCEPT_FUND_ETF,standard_name
股票代码,4,FIELD_QUOTE_CODE,股票代码,CONCEPT_REALTIME_QUOTE,standard_name
股票代码,4,FIELD_PROFILE_CODE,股票代码,CONCEPT_COMPANY_PROFILE,standard_name
股票代码,4,FIELD_IPO_CODE,股票代码,CONCEPT_IPO_INFO,standard_name
股票代码,4,FIELD_LIMIT_CODE,股票代码,CONCEPT_LIMIT_UP_DOWN,standard_name
收盘价,4,FIELD_KLINE_CLOSE,收盘价,CONCEPT_HISTORICAL_KLINE,standard_name
收盘价,4,FIELD_FUT_CLOSE,收盘价,CONCEPT_FUTURES,standard_name
收盘价,4,FIELD_CB_CLOSE,收盘价,CONCEPT_CONVERTIBLE_BOND,standard_name
收盘价,4,FIELD_FUND_CLOSE,收盘价,CONCEPT_FUND_ETF,standard_name
报告期,4,FIELD_FIN_END_DATE,报告期,CONCEPT_FINANCIAL_SUMMARY,standard_name
报告期,4,FIELD_FS_END_DATE,报告期,CONCEPT_FINANCIAL_STATEMENTS,standard_name
报告期,4,FIELD_HOLDER_END_DATE,报告期,CONCEPT_TOP_HOLDERS,standard_name
报告期,4,FIELD_INST_END_DATE,报告期,CONCEPT_INSTITUTION_RATING,standard_name
交易日期,4,FIELD_FOREX_DATE,交易日期,CONCEPT_FOREX_MAJOR,standard_name
交易日期,4,FIELD_FUT_DATE,交易日期,CONCEPT_FUTURES,standard_name
交易日期,4,FIELD_CB_DATE,交易日期,CONCEPT_CONVERTIBLE_BOND,standard_name
交易日期,4,FIELD_FUND_DATE,交易日期,CONCEPT_FUND_ETF,standard_name
涨跌额,3,FIELD_INDEX_CHG,涨跌额,CONCEPT_MARKET_INDEX,standard_name
涨跌额,3,FIELD_QUOTE_CHG,涨跌额,CONCEPT_REALTIME_QUOTE,standard_name
涨跌额,3,FIELD_KLINE_CHG,涨跌额,CONCEPT_HISTORICAL_KLINE,standard_name
昨日收盘,3,FIELD_INDEX_PRE_CLOSE,昨日收盘,CONCEPT_MARKET_INDEX,standard_name
昨日收盘,3,FIELD_KLINE_PRE_CLOSE,昨日收盘,CONCEPT_HISTORICAL_KLINE,standard_name
昨日收盘,3,FIELD_LIMIT_PRE_CLOSE,昨日收盘,CONCEPT_LIMIT_UP_DOWN,standard_name
总市值,3,FIELD_INDEX_TOTAL_MV,总市值,CONCEPT_MARKET_INDEX,standard_name
总市值,3,FIELD_SECTOR_TOTAL_MV,总市值,CONCEPT_SECTOR_REALTIME,standard_name
总市值,3,FIELD_TOTAL_MV,总市值,CONCEPT_REALTIME_QUOTE,standard_name
换手率,3,FIELD_INDEX_TURNOVER,换手率,CONCEPT_MARKET_INDEX,standard_name
换手率,3,FIELD_LHB_TURNOVER,换手率,CONCEPT_LHB_BLOCKTRADE,standard_name
换手率,3,FIELD_TURNOVER_RATE,换手率,CONCEPT_REALTIME_QUOTE,standard_name
股票名称,3,FIELD_LHB_STOCK_NAME,股票名称,CONCEPT_LHB_BLOCKTRADE,standard_name
股票名称,3,FIELD_QUOTE_NAME,股票名称,CONCEPT_REALTIME_QUOTE,standard_name
股票名称,3,FIELD_IPO_NAME,股票名称,CONCEPT_IPO_INFO,standard_name
上市日期,3,FIELD_PROFILE_LIST_DATE,上市日期,CONCEPT_COMPANY_PROFILE,standard_name
上市日期,3,FIELD_IPO_LIST_DATE,上市日期,CONCEPT_IPO_INFO,standard_name
上市日期,3,FIELD_FUND_LIST_DATE,上市日期,CONCEPT_FUND_ETF,standard_name
振幅,2,FIELD_INDEX_SWING,振幅,CONCEPT_MARKET_INDEX,standard_name
振幅,2,FIELD_AMPLITUDE,振幅,CONCEPT_REALTIME_QUOTE,standard_name
流通市值,2,FIELD_INDEX_FLOAT_MV,流通市值,CONCEPT_MARKET_INDEX,standard_name
流通市值,2,FIELD_FLOAT_MV,流通市值,CONCEPT_REALTIME_QUOTE,standard_name
市净率,2,FIELD_INDEX_PB,市净率,CONCEPT_MARKET_INDEX,standard_name
市净率,2,FIELD_PB,市净率,CONCEPT_REALTIME_QUOTE,standard_name
上涨家数,2,FIELD_UP_COUNT,上涨家数,CONCEPT_MARKET_SENTIMENT,standard_name
上涨家数,2,FIELD_SECTOR_UP_COUNT,上涨家数,CONCEPT_SECTOR_REALTIME,standard_name
下跌家数,2,FIELD_DOWN_COUNT,下跌家数,CONCEPT_MARKET_SENTIMENT,standard_name
下跌家数,2,FIELD_SECTOR_DOWN_COUNT,下跌家数,CONCEPT_SECTOR_REALTIME,standard_name
涨停价,2,FIELD_LIMIT_UP,涨停价,CONCEPT_REALTIME_QUOTE,standard_name
涨停价,2,FIELD_LIMIT_UP_PRICE,涨停价,CONCEPT_LIMIT_UP_DOWN,standard_name
跌停价,2,FIELD_LIMIT_DOWN,跌停价,CONCEPT_REALTIME_QUOTE,standard_name
跌停价,2,FIELD_LIMIT_DOWN_PRICE,跌停价,CONCEPT_LIMIT_UP_DOWN,standard_name
复权因子,2,FIELD_ADJ_FACTOR,复权因子,CONCEPT_HISTORICAL_KLINE,standard_name
复权因子,2,FIELD_FUND_ADJ_FACTOR,复权因子,CONCEPT_FUND_ETF,standard_name
基本每股收益,2,FIELD_FIN_EPS,基本每股收益,CONCEPT_FINANCIAL_SUMMARY,standard_name
基本每股收益,2,FIELD_FS_BASIC_EPS,基本每股收益,CONCEPT_FINANCIAL_STATEMENTS,standard_name
稀释每股收益,2,FIELD_FIN_DT_EPS,稀释每股收益,CONCEPT_FINANCIAL_SUMMARY,standard_name
稀释每股收益,2,FIELD_FS_DILUTED_EPS,稀释每股收益,CONCEPT_FINANCIAL_STATEMENTS,standard_name
所属行业,2,FIELD_PROFILE_INDUSTRY,所属行业,CONCEPT_COMPANY_PROFILE,standard_name
所属行业,2,FIELD_LIMIT_SECTOR,所属行业,CONCEPT_LIMIT_UP_DOWN,standard_name
公告日期,2,FIELD_HOLDER_ANN_DATE,公告日期,CONCEPT_TOP_HOLDERS,standard_name
公告日期,2,FIELD_TRADE_ANN_DATE,公告日期,CONCEPT_PLEDGE_HOLDER_TRADE,standard_name
股东名称,2,FIELD_HOLDER_NAME,股东名称,CONCEPT_TOP_HOLDERS,standard_name
股东名称,2,FIELD_PLEDGE_HOLDER,股东名称,CONCEPT_PLEDGE_HOLDER_TRADE,standard_name
持股数量,2,FIELD_HOLDER_SHARES,持股数量,CONCEPT_TOP_HOLDERS,standard_name
持股数量,2,FIELD_NORTH_HOLD_VOL,持股数量,CONCEPT_NORTHBOUND,standard_name
