id,standard_name,alias,description,data_type,unit,authority_level,refresh_time,default_datasource_id,belongs_to_concept
FIELD_SECTOR_MAIN_INFLOW,主力净流入,[],板块主力资金净流入金额,float,亿元,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_UP_COUNT,上涨家数,[],板块内上涨股票数量,int,家,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_DOWN_COUNT,下跌家数,[],板块内下跌股票数量,int,家,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_TOTAL_MV,总市值,[],板块成分股总市值,float,亿元,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_TOP_DROP,领跌股名称,[],板块内跌幅最大股票名称,string,—,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_SECTOR_TOP_DROP_CHG,领跌股涨幅,[],领跌股当日涨跌幅,float,%,A,intraday,DS_AKSHARE_SECTOR_SPOT,CONCEPT_SECTOR_REALTIME
FIELD_LHB_STOCK_NAME,股票名称,[],上榜股票名称,string,—,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_PCT_CHG,涨跌幅,[],股票当日涨跌幅,float,%,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_TURNOVER,换手率,[],股票当日换手率,float,%,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_AMOUNT,总成交额,[],股票当日总成交额,float,万元,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_BUY,龙虎榜买入额,[],龙虎榜上榜买入金额,float,万元,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_SELL,龙虎榜卖出额,[],龙虎榜上榜卖出金额,float,万元,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_NET,净买入额,[],龙虎榜净买入金额,float,万元,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_NET_RATE,净买额占比,[],净买入额占总成交额比例,float,%,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_AMOUNT_RATE,龙虎榜成交占比,[],龙虎榜成交额占总成交额比例,float,%,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_REASON,上榜理由,[],龙虎榜上榜原因描述,string,—,A,daily_20:00,DS_TUSHARE_TOP_LIST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_EXALTER,营业部名称,[],参与交易的营业部名称,string,—,A,daily_20:00,DS_TUSHARE_TOP_INST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_SIDE,买卖类型,[],"0-买入席,1-卖出席",int,—,A,daily_20:00,DS_TUSHARE_TOP_INST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_INST_BUY,机构买入额,[],机构席位买入金额,float,万元,A,daily_20:00,DS_TUSHARE_TOP_INST,CONCEPT_LHB_BLOCKTRADE
FIELD_LHB_INST_SELL,机构卖出额,[],机构席位卖出金额,float,万元,A,daily_20:00,DS_TUSHARE_TOP_INST,CONCEPT_LHB_BLOCKTRADE
FIELD_BLOCK_PRICE,大宗交易价,[],大宗交易成交价格,float,元,A,daily_20:00,DS_TUSHARE_BLOCK_TRADE,CONCEPT_LHB_BLOCKTRADE
FIELD_BLOCK_VOL,大宗交易量,[],大宗交易成交量,float,万股,A,daily_20:00,DS_TUSHARE_BLOCK_TRADE,CONCEPT_LHB_BLOCKTRADE
FIELD_BLOCK_AMOUNT,大宗交易额,[],大宗交易成交金额,float,万元,A,daily_20:00,DS_TUSHARE_BLOCK_TRADE,CONCEPT_LHB_BLOCKTRADE
FIELD_BLOCK_BUYER,买方营业部,[],大宗交易买方营业部,string,—,A,daily_20:00,DS_TUSHARE_BLOCK_TRADE,CONCEPT_LHB_BLOCKTRADE
FIELD_BLOCK_SELLER,卖方营业部,[],大宗交易卖方营业部,string,—,A,daily_20:00,DS_TUSHARE_BLOCK_TRADE,CONCEPT_LHB_BLOCKTRADE
FIELD_INDUSTRY_L1_CODE,一级行业代码,[],申万一级行业代码,string,—,A,weekly,DS_TUSHARE_INDEX_CLASSIFY,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_L1_NAME,一级行业名称,[],申万一级行业名称,string,—,A,weekly,DS_TUSHARE_INDEX_CLASSIFY,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_L2_CODE,二级行业代码,[],申万二级行业代码,string,—,A,weekly,DS_TUSHARE_INDEX_CLASSIFY,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_L2_NAME,二级行业名称,[],申万二级行业名称,string,—,A,weekly,DS_TUSHARE_INDEX_CLASSIFY,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_L3_CODE,三级行业代码,[],申万三级行业代码,string,—,A,weekly,DS_TUSHARE_INDEX_CLASSIFY,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_L3_NAME,三级行业名称,[],申万三级行业名称,string,—,A,weekly,DS_TUSHARE_INDEX_CLASSIFY,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_MEMBER,成分股票代码,[],行业成分股TS代码,string,—,A,weekly,DS_TUSHARE_INDEX_MEMBER,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_MEMBER_NAME,成分股票名称,[],行业成分股名称,string,—,A,weekly,DS_TUSHARE_INDEX_MEMBER,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_IN_DATE,纳入日期,[],股票纳入行业日期,date,—,A,weekly,DS_TUSHARE_INDEX_MEMBER,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_OUT_DATE,剔除日期,[],股票剔除行业日期,date,—,A,weekly,DS_TUSHARE_INDEX_MEMBER,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_IS_NEW,是否最新,[],是否为最新成分（Y/N）,string,—,A,weekly,DS_TUSHARE_INDEX_MEMBER,CONCEPT_INDUSTRY_CLASSIFY
FIELD_INDUSTRY_BG_TECH,技术图谱摘要,[],产业核心技术路径描述,string,—,C,weekly,DS_WEB_SEARCH,CONCEPT_INDUSTRY_BG
FIELD_INDUSTRY_BG_CHAIN,产业链结构图,[],产业链各环节价值分布,string,—,C,weekly,DS_WEB_SEARCH,CONCEPT_INDUSTRY_BG
FIELD_INDUSTRY_BG_POLICY,关键政策列表,[],相关产业政策汇总,string,—,C,weekly,DS_WEB_SEARCH,CONCEPT_INDUSTRY_BG
FIELD_INDUSTRY_BG_PLAYERS,全球主要玩家,[],全球及国内主要参与者,string,—,C,weekly,DS_WEB_SEARCH,CONCEPT_INDUSTRY_BG
FIELD_PATH_ID,路径编号,[],投资路径唯一编号,string,—,C,event_driven,DS_LLM_GEN,CONCEPT_PATH_ANALYSIS
FIELD_PATH_DIMENSION,分化维度,[],路径分化维度（技术/环节/地域等）,string,—,C,event_driven,DS_LLM_GEN,CONCEPT_PATH_ANALYSIS
FIELD_PATH_DESC,研究路径描述,[],具体投资路径说明,string,—,C,event_driven,DS_LLM_GEN,CONCEPT_PATH_ANALYSIS
FIELD_PATH_ENTRY,关键切入点,[],路径关键驱动因素,string,—,C,event_driven,DS_LLM_GEN,CONCEPT_PATH_ANALYSIS
FIELD_PATH_SIGNAL,先行信号,[],路径启动的先行信号,string,—,C,event_driven,DS_LLM_GEN,CONCEPT_PATH_ANALYSIS
FIELD_PATH_PRIORITY,优先级,[],路径建议优先级,string,—,C,event_driven,DS_LLM_GEN,CONCEPT_PATH_ANALYSIS
FIELD_POLICY_TITLE,政策标题,[],政策文件标题,string,—,S,realtime,DS_WEB_SEARCH,CONCEPT_POLICY_ORIGINAL
FIELD_POLICY_DEPT,发文机关,[],政策发布机关,string,—,S,realtime,DS_WEB_SEARCH,CONCEPT_POLICY_ORIGINAL
FIELD_POLICY_DATE,发布时间,[],政策发布日期,date,—,S,realtime,DS_WEB_SEARCH,CONCEPT_POLICY_ORIGINAL
FIELD_POLICY_TYPE,政策类型,[],政策分类（法规/通知/批复等）,string,—,S,realtime,DS_WEB_SEARCH,CONCEPT_POLICY_ORIGINAL
FIELD_POLICY_FULLTEXT,政策全文,[],政策文件完整内容,string,—,S,realtime,DS_WEB_SEARCH,CONCEPT_POLICY_ORIGINAL
FIELD_POLICY_LINK,政策链接,[],政策原文URL,string,—,S,realtime,DS_WEB_SEARCH,CONCEPT_POLICY_ORIGINAL
FIELD_QUOTE_NAME,股票名称,[],股票中文名称,string,—,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_CODE,股票代码,[],股票代码,string,—,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_PRICE,当前价,[],最新成交价,float,元,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_PCT_CHG,涨跌幅,[],当日涨跌幅百分比,float,%,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_CHG,涨跌额,[],当日涨跌金额,float,元,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_VOL,成交量,[],当日成交量（手）,float,手,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_AMOUNT,成交额,[],当日成交额,float,万元,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_HIGH,最高价,[],当日最高价,float,元,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_LOW,最低价,[],当日最低价,float,元,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_OPEN,开盘价,[],当日开盘价,float,元,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_QUOTE_PRE_CLOSE,昨收价,[],前一交易日收盘价,float,元,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_TOTAL_MV,总市值,[],公司总市值,float,亿元,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_FLOAT_MV,流通市值,[],流通股本市值,float,亿元,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_PE_DYNAMIC,市盈率(动态),[],动态市盈率,float,倍,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_PE_TTM,市盈率TTM,[],滚动市盈率,float,倍,A,daily_17:00,DS_TUSHARE_DAILY_BASIC,CONCEPT_REALTIME_QUOTE
FIELD_PB,市净率,[],市净率,float,倍,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_PS_TTM,市销率,[],滚动市销率,float,倍,A,daily_17:00,DS_TUSHARE_DAILY_BASIC,CONCEPT_REALTIME_QUOTE
FIELD_TURNOVER_RATE,换手率,[],流通股本换手率,float,%,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_VOLUME_RATIO,量比,[],当日量比,float,倍,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_AMPLITUDE,振幅,[],当日价格振幅,float,%,B,realtime,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_DIVIDEND_YIELD,股息率,[],滚动股息率,float,%,A,daily_17:00,DS_TUSHARE_DAILY_BASIC,CONCEPT_REALTIME_QUOTE
FIELD_LIMIT_UP,涨停价,[],当日涨停价格,float,元,A,intraday,DS_TUSHARE_STK_LIMIT,CONCEPT_REALTIME_QUOTE
FIELD_LIMIT_DOWN,跌停价,[],当日跌停价格,float,元,A,intraday,DS_TUSHARE_STK_LIMIT,CONCEPT_REALTIME_QUOTE
FIELD_HIGH_52W,52周最高,[],过去52周最高价,float,元,B,daily_17:00,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_LOW_52W,52周最低,[],过去52周最低价,float,元,B,daily_17:00,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_YTD_PCT,年初至今涨幅,[],年初至今累计涨幅,float,%,B,daily_17:00,DS_TENCENT_QUOTE,CONCEPT_REALTIME_QUOTE
FIELD_KLINE_DATE,日期,[],K线交易日期,date,—,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_KLINE_OPEN,开盘价,[],当日开盘价,float,元,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_KLINE_HIGH,最高价,[],当日最高价,float,元,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_KLINE_LOW,最低价,[],当日最低价,float,元,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_KLINE_CLOSE,收盘价,[],当日收盘价,float,元,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_KLINE_PRE_CLOSE,昨日收盘,[],前收盘价（除权价）,float,元,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_KLINE_CHG,涨跌额,[],涨跌金额,float,元,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_KLINE_PCT_CHG,涨跌幅,[],涨跌幅百分比,float,%,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_KLINE_VOL,成交量,[],成交量（手）,float,手,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_KLINE_AMOUNT,成交额,[],成交额（千元）,float,千元,A,daily_17:00,DS_TUSHARE_DAILY,CONCEPT_HISTORICAL_KLINE
FIELD_ADJ_FACTOR,复权因子,[],复权因子,float,—,A,daily_17:00,DS_TUSHARE_ADJ_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_MACD_DIF,MACD_DIF,[],MACD指标DIF线,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_MACD_DEA,MACD_DEA,[],MACD指标DEA线,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_MACD,MACD柱,[],MACD柱状线,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_KDJ_K,KDJ_K,[],KDJ指标K值,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_KDJ_D,KDJ_D,[],KDJ指标D值,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_KDJ_J,KDJ_J,[],KDJ指标J值,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_RSI_6,RSI_6,[],6日相对强弱指标,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_RSI_12,RSI_12,[],12日相对强弱指标,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_RSI_24,RSI_24,[],24日相对强弱指标,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_BOLL_UPPER,BOLL上轨,[],布林线上轨,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_BOLL_MID,BOLL中轨,[],布林线中轨,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_BOLL_LOWER,BOLL下轨,[],布林线下轨,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_CCI,CCI,[],顺势指标,float,—,A,daily_17:00,DS_TUSHARE_STK_FACTOR,CONCEPT_HISTORICAL_KLINE
FIELD_FIN_END_DATE,报告期,[],财务报告截止日期,date,—,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_ROE_WAA,ROE(加权),[],加权平均净资产收益率,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_ROE_DILUTED,ROE(摊薄),[],摊薄净资产收益率,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_GROSS_MARGIN,毛利率,[],销售毛利率,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_NET_MARGIN,净利率,[],销售净利率,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_OP_MARGIN,营业利润率,[],营业利润/营业总收入,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_REVENUE_YOY,营收同比增速,[],营业收入同比增长率,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_PROFIT_YOY,净利同比增速,[],净利润同比增长率,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_DEBT_RATIO,资产负债率,[],总负债/总资产,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_EQUITY_MULT,权益乘数,[],总资产/股东权益,float,倍,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_ASSETS_TURN,总资产周转率,[],营业收入/总资产,float,次,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_INV_TURN,存货周转率,[],营业成本/平均存货,float,次,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_AR_TURN,应收账款周转率,[],营业收入/平均应收账款,float,次,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_OCF_TO_OR,经营现金流/营收,[],经营现金流/营业收入,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_EPS,基本每股收益,[],基本每股收益,float,元,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_DT_EPS,稀释每股收益,[],稀释每股收益,float,元,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_BPS,每股净资产,[],每股净资产,float,元,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_OCFPS,每股经营现金流,[],每股经营活动现金流,float,元,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_CAPITAL_RESERVE,每股资本公积,[],每股资本公积金,float,元,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_UNDIST_PROFIT,每股未分配利润,[],每股未分配利润,float,元,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_RD_RATIO,研发费用占比,[],研发费用/营业收入,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_SUMMARY
FIELD_FIN_ROIC,ROIC,[],投入资本回报率,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_DEEP
FIELD_FIN_ROE_DT,ROE(扣非),[],扣除非经常损益后ROE,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_DEEP
FIELD_FIN_EBIT,EBIT,[],息税前利润,float,亿元,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_DEEP
FIELD_FIN_EBITDA,EBITDA,[],息税折旧摊销前利润,float,亿元,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_DEEP
FIELD_FIN_EBIT_RATIO,EBIT/营业总收入,[],EBIT占营业总收入比例,float,%,A,quarterly,DS_TUSHARE_FINA_IND,CONCEPT_FINANCIAL_DEEP
