id,name,protocol,execution_meta,authority_level,refresh_time,reliability_score,latency_ms,code_format,prompt_dir
DS_TUSHARE_BLOCK_TRADE,TuShare 大宗交易,tushare,{},A,daily_20:00,0.90,,,
DS_TUSHARE_TOP10,TuShare 前十大股东,tushare,{},A,quarterly,0.90,,,
DS_TUSHARE_PLEDGE_STAT,TuShare 股权质押统计,tushare,{},A,event_driven,0.90,,,
DS_TUSHARE_PLEDGE,TuShare 股权质押明细,tushare,{},A,event_driven,0.90,,,
DS_TUSHARE_HOLDER_TRADE,TuShare 股东增减持,tushare,{},A,event_driven,0.90,,,
DS_TUSHARE_NEW_SHARE,TuShare IPO新股,tushare,{},A,event_driven,0.95,,,
DS_TUSHARE_DIVIDEND,TuShare 分红送配,tushare,{},A,event_driven,0.95,,,
DS_TUSHARE_STOCK_BASIC,TuShare 股票基础信息,tushare,{},A,weekly,0.95,,,
DS_TUSHARE_STOCK_COMPANY,TuShare 公司信息,tushare,{},A,weekly,0.95,,,
DS_TUSHARE_NAMECHANGE,TuShare 股票曾用名,tushare,{},A,weekly,0.95,,,
DS_TUSHARE_REPORT_RC,TuShare 券商盈利预测,tushare,{},A,daily_17:00,0.85,,,
DS_TUSHARE_CN_MACRO,TuShare 中国宏观,tushare,{},A,monthly,0.90,,,
DS_TUSHARE_US_TYCR,TuShare 美债收益率,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_LIBOR,TuShare Libor,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_SHIBOR,TuShare Shibor,tushare,{},A,daily,0.90,,,
DS_TUSHARE_LPR,TuShare LPR,tushare,{},A,monthly_20,0.90,,,
DS_TUSHARE_WZ,TuShare 温州民间利率,tushare,{},A,weekly,0.85,,,
DS_TUSHARE_GZ,TuShare 广州民间利率,tushare,{},A,weekly,0.85,,,
DS_TUSHARE_HIBOR,TuShare Hibor,tushare,{},A,daily,0.90,,,
DS_TUSHARE_FUT_DAILY,TuShare 期货日线,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_FUT_BASIC,TuShare 期货基础信息,tushare,{},A,weekly,0.90,,,
DS_TUSHARE_FUT_HOLDING,TuShare 期货持仓排名,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_FUT_WSR,TuShare 期货仓单,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_FUT_SETTLE,TuShare 期货结算参数,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_CB_DAILY,TuShare 可转债日线,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_CB_BASIC,TuShare 可转债基础信息,tushare,{},A,weekly,0.90,,,
DS_TUSHARE_FUND_DAILY,TuShare 基金日线,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_FUND_BASIC,TuShare 基金基础信息,tushare,{},A,weekly,0.90,,,
DS_TUSHARE_FUND_NAV,TuShare 基金净值,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_FUND_SHARE,TuShare 基金份额,tushare,{},A,daily_17:00,0.90,,,
DS_TUSHARE_FUND_PORT,TuShare 基金持仓,tushare,{},A,quarterly,0.90,,,
DS_TUSHARE_FUND_MANAGER,TuShare 基金经理,tushare,{},A,weekly,0.90,,,
DS_TUSHARE_FUND_ADJ,TuShare 基金复权因子,tushare,{},A,event_driven,0.90,,,
DS_TUSHARE_FX_DAILY,TuShare 外汇日线,tushare,{},A,daily,0.90,,,
DS_TUSHARE_FX_OBASIC,TuShare 外汇基础信息,tushare,{},A,weekly,0.90,,,
DS_TUSHARE_INDEX_CLASSIFY,TuShare 申万行业分类,tushare,{},A,weekly,0.95,,,
DS_TUSHARE_INDEX_MEMBER,TuShare 行业成分股,tushare,{},A,weekly,0.95,,,
DS_AKSHARE_SECTOR_SPOT,akshare 板块实时行情,akshare,{},A,intraday,0.85,,,
DS_AKSHARE_SECTOR_CONS,akshare 板块成分股,akshare,{},A,intraday,0.85,,,
DS_AKSHARE_CNINFO,akshare 巨潮公告,akshare,{},S,realtime,0.95,,,
DS_AKSHARE_IRM,akshare 互动易,akshare,{},S,realtime,0.95,,,
DS_AKSHARE_INST_HOLD,akshare 机构持仓,akshare,{},A,quarterly,0.85,,,
DS_AKSHARE_BOND_YIELD,akshare 国债收益率,akshare,{},A,daily_17:00,0.85,,,
DS_LEVISTOCK_EMOTION,levistock 市场情绪,levistock,{},B,intraday,0.80,,,
DS_LEVISTOCK_NEWS,levistock 快讯,levistock,{},A,realtime,0.85,,,
DS_LEVISTOCK_ZT_POOL,levistock 涨停池,levistock,{},B,intraday,0.80,,,
DS_LEVISTOCK_SECTOR,levistock 板块,levistock,{},B,intraday,0.80,,,
DS_TENCENT_QUOTE,腾讯财经实时行情,tencent,{},B,realtime,0.85,,,
DS_XUEQIU_IND_COMPARE,雪球行业估值对比,xueqiu,{},A,quarterly,0.85,,,
DS_WEB_SEARCH,站内搜索,web_search,{},S/C,realtime,0.70,,,
DS_LLM_GEN,LLM 生成分析,llm_gen,{},C,event_driven,0.65,,,
DS_LOCAL_CALC,本地计算,local_calc,{},A,event_driven,1.00,,,
DS_SINA_INCOME,新浪利润表,html_scrape,{},B,quarterly,0.75,,,DS_SINA_INCOME
DS_SINA_BALANCE,新浪资产负债表,html_scrape,{},B,quarterly,0.75,,,DS_SINA_BALANCE
DS_SINA_CASHFLOW,新浪现金流量表,html_scrape,{},B,quarterly,0.75,,,DS_SINA_CASHFLOW
